File_Name,Charge,Y_value,M,Vibration mode,Displacement,Chemicals_1,Chemicals_2,Chemicals_3,Chemicals_4,Chemicals_5,Chemicals_6,Chemicals_7
Ag2_1_01_1_-0.3.dat,1 ,280.97,01,1,-0.3,"['Ag', '0.000000', '0.000000', '1.183997']","['Ag', '0.000000', '0.000000', '-1.183997']",,,,,
Ag2_1_01_1_-0.4.dat,1 ,295.36,01,1,-0.4,"['Ag', '0.000000', '0.000000', '1.112997']","['Ag', '0.000000', '0.000000', '-1.112997']",,,,,
Ag2_1_01_1_-0.5.dat,1 ,323.46,01,1,-0.5,"['Ag', '0.000000', '0.000000', '1.041997']","['Ag', '0.000000', '0.000000', '-1.041997']",,,,,
Ag2_1_01_1_0.4.dat,1 ,277.62,01,1,0.4,"['Ag', '0.000000', '0.000000', '1.680997']","['Ag', '0.000000', '0.000000', '-1.680997']",,,,,
Ag2_1_01_1_0.8.dat,1,285.97,01,1,0.8,"['Ag', '0.000000', '0.000000', '1.964997']","['Ag', '0.000000', '0.000000', '-1.964997']",,,,,
Ag2_1_01_1_1.dat,1,289.61,01,1,1,"['Ag', '0.000000', '0.000000', '2.106997']","['Ag', '0.000000', '0.000000', '-2.106997']",,,,,
Ag2_1_01_eq.dat,1 ,271.13,01,1,0,"['Ag', '0.000000', '0.000000', '1.396997']","['Ag', '0.000000', '0.000000', '-1.396997']",,,,,
Ag3_-1_01_1_-0.3.dat,-1,128.40,01,1,-0.3,"['Ag', '0.000000', '1.301724', '-0.930459']","['Ag', '0.000000', '-0.000000', '1.860917']","['Ag', '-0.000000', '-1.301724', '-0.930459']",,,,
Ag3_-1_01_1_-0.4.dat,-1,127.91,01,1,-0.4,"['Ag', '0.000000', '1.302724', '-0.889459']","['Ag', '0.000000', '-0.000000', '1.778917']","['Ag', '-0.000000', '-1.302724', '-0.889459']",,,,
Ag3_-1_01_1_-0.5.dat,-1,128.01,01,1,-0.5,"['Ag', '0.000000', '1.303724', '-0.848459']","['Ag', '0.000000', '0.000000', '1.696917']","['Ag', '-0.000000', '-1.303724', '-0.848459']",,,,
Ag3_-1_01_1_-1.dat,-1,149.77,01,1,-1,"['Ag', '0.000000', '1.308724', '-0.643459']","['Ag', '0.000000', '-0.000000', '1.286917']","['Ag', '-0.000000', '-1.308724', '-0.643459']",,,,
Ag3_-1_01_1_0.3.dat,-1,134.04,01,1,0.3,"['Ag', '0.000000', '1.295724', '-1.176459']","['Ag', '0.000000', '-0.000000', '2.352917']","['Ag', '-0.000000', '-1.295724', '-1.176459']",,,,
Ag3_-1_01_1_0.4.dat,-1,134.86,01,1,0.4,"['Ag', '0.000000', '1.294724', '-1.217459']","['Ag', '0.000000', '-0.000000', '2.434917']","['Ag', '-0.000000', '-1.294724', '-1.217459']",,,,
Ag3_-1_01_1_0.5.dat,-1,135.59,01,1,0.5,"['Ag', '0.000000', '1.293724', '-1.258459']","['Ag', '0.000000', '0.000000', '2.516917']","['Ag', '-0.000000', '-1.293724', '-1.258459']",,,,
Ag3_-1_01_1_1.dat,-1,138.23,01,1,1,"['Ag', '0.000000', '1.288724', '-1.463459']","['Ag', '0.000000', '0.000000', '2.926917']","['Ag', '-0.000000', '-1.288724', '-1.463459']",,,,
Ag3_-1_01_2_-0.3.dat,-1,153.34,01,2,-0.3,"['Ag', '0.000000', '1.085724', '-1.051459']","['Ag', '0.000000', '0.000000', '2.102917']","['Ag', '-0.000000', '-1.085724', '-1.051459']",,,,
Ag3_-1_01_2_-0.5.dat,-1,248.00,01,2,-0.5,"['Ag', '0.000000', '0.943724', '-1.050125']","['Ag', '0.000000', '0.000000', '2.100251']","['Ag', '-0.000000', '-0.943724', '-1.050125']",,,,
Ag3_-1_01_2_0.3.dat,-1,139.65,01,2,0.3,"['Ag', '0.000000', '1.511724', '-1.055459']","['Ag', '0.000000', '-0.000000', '2.110917']","['Ag', '-0.000000', '-1.511724', '-1.055459']",,,,
Ag3_-1_01_2_0.4.dat,-1,143.39,01,2,0.4,"['Ag', '0.000000', '1.582724', '-1.056125']","['Ag', '0.000000', '-0.000000', '2.112251']","['Ag', '-0.000000', '-1.582724', '-1.056125']",,,,
Ag3_-1_01_2_0.5.dat,-1,146.95,01,2,0.5,"['Ag', '0.000000', '1.653724', '-1.056792']","['Ag', '0.000000', '-0.000000', '2.113584']","['Ag', '-0.000000', '-1.653724', '-1.056792']",,,,
Ag3_-1_01_2_0.8.dat,-1,154.10,01,2,0.8,"['Ag', '0.000000', '1.866724', '-1.058792']","['Ag', '0.000000', '-0.000000', '2.117584']","['Ag', '-0.000000', '-1.866724', '-1.058792']",,,,
Ag3_-1_01_2_1.dat,-1,154.55,01,2,1,"['Ag', '0.000000', '2.008724', '-1.060125']","['Ag', '0.000000', '-0.000000', '2.120251']","['Ag', '-0.000000', '-2.008724', '-1.060125']",,,,
Ag3_-1_01_3_-0.3.dat,-1,126.56,01,3,-0.3,"['Ag', '1.795502', '-0.398714', '0.000000']","['Ag', '-1.795502', '-1.111503', '-0.000000']","['Ag', '-0.000000', '1.510216', '0.000000']",,,,
Ag3_-1_01_3_-0.4.dat,-1,124.35,01,3,-0.4,"['Ag', '1.847153', '-0.426577', '0.000000']","['Ag', '-1.847153', '-1.031006', '-0.000000']","['Ag', '0.000000', '1.457583', '-0.000000']",,,,
Ag3_-1_01_3_-0.5.dat,-1,122.14,01,3,-0.5,"['Ag', '1.897657', '-0.460250', '0.000000']","['Ag', '-1.897657', '-0.945521', '0.000000']","['Ag', '0.000000', '1.405771', '0.000000']",,,,
Ag3_-1_01_3_-1.dat,-1,114.74,01,3,-1,"['Ag', '2.117086', '-0.737263', '-0.000000']","['Ag', '-2.117086', '-0.425547', '0.000000']","['Ag', '0.000000', '1.162811', '-0.000000']",,,,
Ag3_-1_01_3_0.3.dat,-1,126.56,01,3,0.3,"['Ag', '-0.000000', '1.510216', '-0.000000']","['Ag', '1.795502', '-1.111503', '0.000000']","['Ag', '-1.795502', '-0.398714', '-0.000000']",,,,
Ag3_-1_01_3_0.4.dat,-1,124.35,01,3,0.4,"['Ag', '-0.000000', '1.457583', '-0.000000']","['Ag', '1.847153', '-1.031006', '0.000000']","['Ag', '-1.847153', '-0.426577', '-0.000000']",,,,
Ag3_-1_01_3_0.5.dat,-1,122.14,01,3,0.5,"['Ag', '0.000000', '1.405771', '0.000000']","['Ag', '1.897657', '-0.945521', '0.000000']","['Ag', '-1.897657', '-0.460250', '-0.000000']",,,,
Ag3_-1_01_3_1.dat,-1,114.74,01,3,1,"['Ag', '0.000000', '1.162811', '-0.000000']","['Ag', '2.117086', '-0.425547', '0.000000']","['Ag', '-2.117086', '-0.737263', '0.000000']",,,,
Ag3_-1_01_eq.dat,-1,131.19,01,1,0,"['Ag', '0.000000', '1.298724', '-1.053459']","['Ag', '0.000000', '-0.000000', '2.106917']","['Ag', '-0.000000', '-1.298724', '-1.053459']",,,,
Ag3_-1_02_1_-0.3.dat,-1,101.91,02,1,-0.3,"['Ag', '0.000000', '2.693827', '-0.123000']","['Ag', '-0.000000', '-0.000000', '0.246000']","['Ag', '-0.000000', '-2.693827', '-0.123000']",,,,
Ag3_-1_02_1_-0.4.dat,-1,102.58,02,1,-0.4,"['Ag', '0.000000', '2.693827', '-0.164000']","['Ag', '-0.000000', '-0.000000', '0.328000']","['Ag', '-0.000000', '-2.693827', '-0.164000']",,,,
Ag3_-1_02_1_-0.5.dat,-1,103.48,02,1,-0.5,"['Ag', '0.000000', '2.693827', '-0.205000']","['Ag', '-0.000000', '-0.000000', '0.410000']","['Ag', '-0.000000', '-2.693827', '-0.205000']",,,,
Ag3_-1_02_1_-1.dat,-1,112.23,02,1,-1,"['Ag', '0.000000', '2.693827', '-0.410000']","['Ag', '-0.000000', '-0.000000', '0.820000']","['Ag', '-0.000000', '-2.693827', '-0.410000']",,,,
Ag3_-1_02_1_0.3.dat,-1,101.91,02,1,0.3,"['Ag', '-0.000000', '2.693827', '-0.123000']","['Ag', '0.000000', '0.000000', '0.246000']","['Ag', '-0.000000', '-2.693827', '-0.123000']",,,,
Ag3_-1_02_1_0.4.dat,-1,102.58,02,1,0.4,"['Ag', '-0.000000', '2.693827', '-0.164000']","['Ag', '0.000000', '0.000000', '0.328000']","['Ag', '-0.000000', '-2.693827', '-0.164000']",,,,
Ag3_-1_02_1_0.5.dat,-1,103.48,02,1,0.5,"['Ag', '-0.000000', '2.693827', '-0.205000']","['Ag', '0.000000', '0.000000', '0.410000']","['Ag', '-0.000000', '-2.693827', '-0.205000']",,,,
Ag3_-1_02_1_1.dat,-1,112.23,02,1,1,"['Ag', '-0.000000', '2.693827', '-0.410000']","['Ag', '0.000000', '0.000000', '0.820000']","['Ag', '-0.000000', '-2.693827', '-0.410000']",,,,
Ag3_-1_02_3_-0.3.dat,-1,105.36,02,3,-0.3,"['Ag', '0.000000', '0.000000', '2.480827']","['Ag', '0.000000', '0.000000', '0.000000']","['Ag', '0.000000', '0.000000', '-2.480827']",,,,
Ag3_-1_02_3_-0.4.dat,-1,110.71,02,3,-0.4,"['Ag', '0.000000', '0.000000', '2.409827']","['Ag', '0.000000', '0.000000', '0.000000']","['Ag', '0.000000', '0.000000', '-2.409827']",,,,
Ag3_-1_02_3_-0.5.dat,-1,119.19,02,3,-0.5,"['Ag', '0.000000', '0.000000', '2.338827']","['Ag', '0.000000', '0.000000', '0.000000']","['Ag', '0.000000', '0.000000', '-2.338827']",,,,
Ag3_-1_02_3_-1.dat,-1,261.56,02,3,-1,"['Ag', '0.000000', '0.000000', '1.983827']","['Ag', '0.000000', '0.000000', '0.000000']","['Ag', '0.000000', '0.000000', '-1.983827']",,,,
Ag3_-1_02_3_0.3.dat,-1,105.85,02,3,0.3,"['Ag', '0.000000', '0.000000', '2.906827']","['Ag', '0.000000', '0.000000', '0.000000']","['Ag', '0.000000', '0.000000', '-2.906827']",,,,
Ag3_-1_02_3_0.4.dat,-1,108.34,02,3,0.4,"['Ag', '0.000000', '0.000000', '2.977827']","['Ag', '0.000000', '0.000000', '0.000000']","['Ag', '0.000000', '0.000000', '-2.977827']",,,,
Ag3_-1_02_3_0.5.dat,-1,111.07,02,3,0.5,"['Ag', '0.000000', '0.000000', '3.048827']","['Ag', '0.000000', '0.000000', '0.000000']","['Ag', '0.000000', '0.000000', '-3.048827']",,,,
Ag3_-1_02_3_1.dat,-1,125.83,02,3,1,"['Ag', '0.000000', '0.000000', '3.403827']","['Ag', '0.000000', '0.000000', '0.000000']","['Ag', '0.000000', '0.000000', '-3.403827']",,,,
Ag3_-1_02_4_-0.2.dat,-1,106.56,02,4,-0.2,"['Ag', '0.000000', '0.000000', '2.775827']","['Ag', '0.000000', '0.000000', '-0.164000']","['Ag', '0.000000', '0.000000', '-2.611827']",,,,
Ag3_-1_02_4_-0.3.dat,-1,114.96,02,4,-0.3,"['Ag', '0.000000', '0.000000', '2.816827']","['Ag', '0.000000', '0.000000', '-0.246000']","['Ag', '0.000000', '0.000000', '-2.570827']",,,,
Ag3_-1_02_4_-0.4.dat,-1,130.07,02,4,-0.4,"['Ag', '0.000000', '0.000000', '2.857827']","['Ag', '0.000000', '0.000000', '-0.328000']","['Ag', '0.000000', '0.000000', '-2.529827']",,,,
Ag3_-1_02_4_-0.5.dat,-1,156.28,02,4,-0.5,"['Ag', '0.000000', '0.000000', '2.898827']","['Ag', '0.000000', '0.000000', '-0.410000']","['Ag', '0.000000', '0.000000', '-2.488827']",,,,
Ag3_-1_02_4_0.2.dat,-1,106.56,02,4,0.2,"['Ag', '0.000000', '0.000000', '-2.611827']","['Ag', '0.000000', '0.000000', '-0.164000']","['Ag', '0.000000', '0.000000', '2.775827']",,,,
Ag3_-1_02_4_0.3.dat,-1,114.96,02,4,0.3,"['Ag', '0.000000', '0.000000', '-2.570827']","['Ag', '0.000000', '0.000000', '-0.246000']","['Ag', '0.000000', '0.000000', '2.816827']",,,,
Ag3_-1_02_4_0.4.dat,-1,130.07,02,4,0.4,"['Ag', '0.000000', '0.000000', '-2.529827']","['Ag', '0.000000', '0.000000', '-0.328000']","['Ag', '0.000000', '0.000000', '2.857827']",,,,
Ag3_-1_02_4_0.5.dat,-1,156.28,02,4,0.5,"['Ag', '0.000000', '0.000000', '-2.488827']","['Ag', '0.000000', '0.000000', '-0.410000']","['Ag', '0.000000', '0.000000', '2.898827']",,,,
Ag3_-1_02_eq.dat,-1,101.08,02,1,0,"['Ag', '0.000000', '0.000000', '2.693827']","['Ag', '0.000000', '0.000000', '0.000000']","['Ag', '0.000000', '0.000000', '-2.693827']",,,,
Ag3_0_01_1_-0.3.dat,0 ,152.65,01,1,-0.3,"['Ag', '0.000000', '-0.000000', '1.387397']","['Ag', '0.000000', '1.707227', '-0.693698']","['Ag', '-0.000000', '-1.707227', '-0.693698']",,,,
Ag3_0_01_1_-0.4.dat,0 ,152.47,01,1,-0.4,"['Ag', '0.000000', '-0.000000', '1.431397']","['Ag', '0.000000', '1.647227', '-0.715698']","['Ag', '-0.000000', '-1.647227', '-0.715698']",,,,
Ag3_0_01_1_-0.5.dat,0 ,152.38,01,1,-0.5,"['Ag', '0.000000', '-0.000000', '1.475397']","['Ag', '0.000000', '1.587227', '-0.737698']","['Ag', '-0.000000', '-1.587227', '-0.737698']",,,,
Ag3_0_01_1_-1.dat,0,151.99,01,1,-1,"['Ag', '0.000000', '0.000000', '1.695397']","['Ag', '0.000000', '1.287227', '-0.847698']","['Ag', '-0.000000', '-1.287227', '-0.847698']",,,,
Ag3_0_01_1_0.3.dat,0 ,153.88,01,1,0.3,"['Ag', '0.000000', '-0.000000', '1.123397']","['Ag', '0.000000', '2.067227', '-0.561698']","['Ag', '-0.000000', '-2.067227', '-0.561698']",,,,
Ag3_0_01_1_0.4.dat,0 ,154.04,01,1,0.4,"['Ag', '0.000000', '-0.000000', '1.079397']","['Ag', '0.000000', '2.127227', '-0.539698']","['Ag', '-0.000000', '-2.127227', '-0.539698']",,,,
Ag3_0_01_1_0.5.dat,0 ,154.21,01,1,0.5,"['Ag', '0.000000', '-0.000000', '1.035397']","['Ag', '0.000000', '2.187227', '-0.517698']","['Ag', '-0.000000', '-2.187227', '-0.517698']",,,,
Ag3_0_01_1_1.dat,0,155.86,01,1,1,"['Ag', '0.000000', '-0.000000', '0.815397']","['Ag', '0.000000', '2.487227', '-0.407698']","['Ag', '-0.000000', '-2.487227', '-0.407698']",,,,
Ag3_0_01_3_-0.3.dat,0 ,164.85,01,3,-0.3,"['Ag', '0.000000', '-0.000000', '1.049397']","['Ag', '0.000000', '1.773227', '-0.524698']","['Ag', '-0.000000', '-1.773227', '-0.524698']",,,,
Ag3_0_01_3_-0.4.dat,0 ,179.24,01,3,-0.4,"['Ag', '0.000000', '-0.000000', '0.980730']","['Ag', '0.000000', '1.735227', '-0.490365']","['Ag', '-0.000000', '-1.735227', '-0.490365']",,,,
Ag3_0_01_3_-0.5.dat,0 ,203.23,01,3,-0.5,"['Ag', '0.000000', '-0.000000', '0.912063']","['Ag', '0.000000', '1.697227', '-0.456032']","['Ag', '-0.000000', '-1.697227', '-0.456032']",,,,
Ag3_0_01_3_-0.7.dat,0,298.06,01,3,-0.7,"['Ag', '0.000000', '-0.000000', '0.774730']","['Ag', '0.000000', '1.621227', '-0.387365']","['Ag', '-0.000000', '-1.621227', '-0.387365']",,,,
Ag3_0_01_3_0.3.dat,0 ,161.25,01,3,0.3,"['Ag', '0.000000', '-0.000000', '1.461397']","['Ag', '0.000000', '2.001227', '-0.730698']","['Ag', '-0.000000', '-2.001227', '-0.730698']",,,,
Ag3_0_01_3_0.4.dat,0 ,165.21,01,3,0.4,"['Ag', '0.000000', '-0.000000', '1.530063']","['Ag', '0.000000', '2.039227', '-0.765032']","['Ag', '-0.000000', '-2.039227', '-0.765032']",,,,
Ag3_0_01_3_0.5.dat,0 ,169.34,01,3,0.5,"['Ag', '0.000000', '-0.000000', '1.598730']","['Ag', '0.000000', '2.077227', '-0.799365']","['Ag', '-0.000000', '-2.077227', '-0.799365']",,,,
Ag3_0_01_3_1.dat,0,187.65,01,3,1,"['Ag', '0.000000', '-0.000000', '1.942063']","['Ag', '0.000000', '2.267227', '-0.971032']","['Ag', '-0.000000', '-2.267227', '-0.971032']",,,,
Ag3_0_01_eq.dat,0 ,153.31,01,2,0,"['Ag', '0.000000', '-0.000000', '1.255397']","['Ag', '0.000000', '1.887227', '-0.627698']","['Ag', '-0.000000', '-1.887227', '-0.627698']",,,,
Ag3_1_01_1_-0.3.dat,1 ,281.78,01,1,-0.3,"['Ag', '1.509526', '-0.613791', '0.000000']","['Ag', '0.000000', '1.414259', '-0.000000']","['Ag', '-1.509526', '-0.800469', '-0.000000']",,,,
Ag3_1_01_1_-0.4.dat,1 ,284.94,01,1,-0.4,"['Ag', '1.555325', '-0.550284', '0.000000']","['Ag', '0.000000', '1.359485', '0.000000']","['Ag', '-1.555325', '-0.809201', '-0.000000']",,,,
Ag3_1_01_1_-0.5.dat,1 ,289.05,01,1,-0.5,"['Ag', '1.600240', '-0.483910', '0.000000']","['Ag', '0.000000', '1.304968', '-0.000000']","['Ag', '-1.600240', '-0.821058', '-0.000000']",,,,
Ag3_1_01_1_-1.dat,1,327.54,01,1,-1,"['Ag', '1.803065', '-0.094948', '0.000000']","['Ag', '0.000000', '1.037657', '0.000000']","['Ag', '-1.803065', '-0.942709', '-0.000000']",,,,
Ag3_1_01_1_0.3.dat,1 ,283.73,01,1,0.3,"['Ag', '1.463091', '-0.505644', '0.000000']","['Ag', '-1.463091', '-0.954565', '0.000000']","['Ag', '0.000000', '1.460209', '0.000000']",,,,
Ag3_1_01_1_0.4.dat,1 ,289.87,01,1,0.4,"['Ag', '1.487619', '-0.404200', '0.000000']","['Ag', '-1.487619', '-1.018556', '-0.000000']","['Ag', '0.000000', '1.422756', '-0.000000']",,,,
Ag3_1_01_1_0.5.dat,1 ,299.54,01,1,0.5,"['Ag', '1.507811', '-0.299357', '-0.000000']","['Ag', '-1.507811', '-1.087327', '0.000000']","['Ag', '-0.000000', '1.386684', '0.000000']",,,,
Ag3_1_01_1_1.dat,1,485.78,01,1,1,"['Ag', '1.523910', '0.272216', '-0.000000']","['Ag', '-1.523910', '-1.503362', '0.000000']","['Ag', '0.000000', '1.231146', '-0.000000']",,,,
Ag3_1_01_2_-0.3.dat,1 ,281.65,01,2,-0.3,"['Ag', '0.000000', '1.412454', '0.000000']","['Ag', '1.512015', '-0.626303', '-0.000000']","['Ag', '-1.512015', '-0.786151', '0.000000']",,,,
Ag3_1_01_2_-0.4.dat,1 ,284.60,01,2,-0.4,"['Ag', '0.000000', '1.356960', '0.000000']","['Ag', '1.558996', '-0.567584', '0.000000']","['Ag', '-1.558996', '-0.789376', '0.000000']",,,,
Ag3_1_01_2_-0.5.dat,1 ,288.35,01,2,-0.5,"['Ag', '-0.000000', '1.301654', '0.000000']","['Ag', '1.605327', '-0.506352', '-0.000000']","['Ag', '-1.605327', '-0.795301', '0.000000']",,,,
Ag3_1_01_2_-1.dat,1,320.27,01,2,-1,"['Ag', '0.000000', '1.028975', '0.000000']","['Ag', '1.820841', '-0.149412', '0.000000']","['Ag', '-1.820841', '-0.879563', '0.000000']",,,,
Ag3_1_01_2_0.3.dat,1 ,283.87,01,2,0.3,"['Ag', '1.457365', '-0.965804', '-0.000000']","['Ag', '-1.457365', '-0.499599', '0.000000']","['Ag', '-0.000000', '1.465403', '0.000000']",,,,
Ag3_1_01_2_0.4.dat,1 ,290.24,01,2,0.4,"['Ag', '1.479492', '-1.033440', '-0.000000']","['Ag', '-1.479492', '-0.396418', '-0.000000']","['Ag', '-0.000000', '1.429858', '0.000000']",,,,
Ag3_1_01_2_0.5.dat,1 ,300.36,01,2,0.5,"['Ag', '1.497034', '-1.105727', '0.000000']","['Ag', '-1.497034', '-0.290059', '-0.000000']","['Ag', '-0.000000', '1.395786', '-0.000000']",,,,
Ag3_1_01_2_1.dat,1,502.56,01,2,1,"['Ag', '1.496962', '-1.535180', '-0.000000']","['Ag', '-1.496962', '0.283633', '0.000000']","['Ag', '0.000000', '1.251547', '0.000000']",,,,
Ag3_1_01_3_-0.3.dat,1 ,291.63,01,3,-0.3,"['Ag', '0.000000', '-0.000000', '1.405859']","['Ag', '0.000000', '1.218198', '-0.702929']","['Ag', '-0.000000', '-1.218198', '-0.702929']",,,,
Ag3_1_01_3_-0.4.dat,1 ,309.66,01,3,-0.4,"['Ag', '0.000000', '-0.000000', '1.347859']","['Ag', '0.000000', '1.168198', '-0.673929']","['Ag', '-0.000000', '-1.168198', '-0.673929']",,,,
Ag3_1_01_3_-0.5.dat,1 ,340.57,01,3,-0.5,"['Ag', '0.000000', '-0.000000', '1.289859']","['Ag', '0.000000', '1.118198', '-0.644929']","['Ag', '-0.000000', '-1.118198', '-0.644929']",,,,
Ag3_1_01_3_0.3.dat,1 ,286.96,01,3,0.3,"['Ag', '-0.000000', '0.000000', '1.753859']","['Ag', '0.000000', '1.518198', '-0.876929']","['Ag', '-0.000000', '-1.518198', '-0.876929']",,,,
Ag3_1_01_3_0.4.dat,1 ,291.61,01,3,0.4,"['Ag', '-0.000000', '0.000000', '1.811859']","['Ag', '-0.000000', '1.568198', '-0.905929']","['Ag', '-0.000000', '-1.568198', '-0.905929']",,,,
Ag3_1_01_3_0.5.dat,1 ,296.48,01,3,0.5,"['Ag', '-0.000000', '-0.000000', '1.869859']","['Ag', '0.000000', '1.618198', '-0.934929']","['Ag', '-0.000000', '-1.618198', '-0.934929']",,,,
Ag3_1_01_3_0.75.dat,1,308.66,01,3,0.75,"['Ag', '-0.000000', '0.000000', '2.014859']","['Ag', '-0.000000', '1.743198', '-1.007429']","['Ag', '-0.000000', '-1.743198', '-1.007429']",,,,
Ag3_1_01_3_1.dat,1,319.93,01,3,1,"['Ag', '-0.000000', '0.000000', '2.159859']","['Ag', '0.000000', '1.868198', '-1.079929']","['Ag', '-0.000000', '-1.868198', '-1.079929']",,,,
Ag3_1_01_eq.dat,1 ,277.61,01,1,0,"['Ag', '-0.000000', '1.579859', '0.000000']","['Ag', '1.368198', '-0.789929', '0.000000']","['Ag', '-1.368198', '-0.789929', '0.000000']",,,,
Ag4_-1_01_1_-0.3.dat,-1,145.27,01,1,-0.3,"['Ag', '0.000000', '4.070048', '0.150000']","['Ag', '0.000000', '1.371537', '-0.150000']","['Ag', '-0.000000', '-1.371537', '-0.150000']","['Ag', '-0.000000', '-4.070048', '0.150000']",,,
Ag4_-1_01_1_-0.4.dat,-1,145.51,01,1,-0.4,"['Ag', '0.000000', '4.070048', '0.200000']","['Ag', '0.000000', '1.371537', '-0.200000']","['Ag', '-0.000000', '-1.371537', '-0.200000']","['Ag', '-0.000000', '-4.070048', '0.200000']",,,
Ag4_-1_01_1_-0.5.dat,-1,145.86,01,1,-0.5,"['Ag', '0.000000', '4.070048', '0.250000']","['Ag', '0.000000', '1.371537', '-0.250000']","['Ag', '-0.000000', '-1.371537', '-0.250000']","['Ag', '-0.000000', '-4.070048', '0.250000']",,,
Ag4_-1_01_1_-1.dat,-1,149.77,01,1,-1,"['Ag', '0.000000', '4.070048', '0.500000']","['Ag', '0.000000', '1.371537', '-0.500000']","['Ag', '-0.000000', '-1.371537', '-0.500000']","['Ag', '-0.000000', '-4.070048', '0.500000']",,,
Ag4_-1_01_1_0.3.dat,-1,145.27,01,1,0.3,"['Ag', '-0.000000', '4.070048', '0.150000']","['Ag', '-0.000000', '1.371537', '-0.150000']","['Ag', '-0.000000', '-1.371537', '-0.150000']","['Ag', '-0.000000', '-4.070048', '0.150000']",,,
Ag4_-1_01_1_0.4.dat,-1,145.51,01,1,0.4,"['Ag', '-0.000000', '4.070048', '0.200000']","['Ag', '-0.000000', '1.371537', '-0.200000']","['Ag', '-0.000000', '-1.371537', '-0.200000']","['Ag', '-0.000000', '-4.070048', '0.200000']",,,
Ag4_-1_01_1_0.5.dat,-1,145.86,01,1,0.5,"['Ag', '-0.000000', '4.070048', '0.250000']","['Ag', '-0.000000', '1.371537', '-0.250000']","['Ag', '-0.000000', '-1.371537', '-0.250000']","['Ag', '-0.000000', '-4.070048', '0.250000']",,,
Ag4_-1_01_1_1.dat,-1,149.77,01,1,1,"['Ag', '-0.000000', '4.070048', '0.500000']","['Ag', '-0.000000', '1.371537', '-0.500000']","['Ag', '-0.000000', '-1.371537', '-0.500000']","['Ag', '-0.000000', '-4.070048', '0.500000']",,,
